Año del Accidente,Mes del Accidente,Día del Accidente,Hora del Día,Día de la Semana,Ciudad o Municipio,Accidente: Intersección,Accidente: Fuga,Condiciones de Iluminación,Condiciones Climáticas (2016+),Límite de Velocidad en el Lugar del Accidente,Peor Lesión en el Accidente,Tipo de Parte,Edad de la Persona,Género de la Persona
2018,Febrero,1,9:00 AM - 10:00 AM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Despejado,35,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,Febrero,1,7:00 PM - 8:00 PM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,30,Lesión grave sospechada (A),Conductor de vehículo motorizado,44,Femenino
2018,Febrero,1,11:00 AM - 12:00 noon,Jueves,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Nublado,30,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,Febrero,1,6:00 PM - 7:00 PM,Jueves,Wayne County: Detroit,Accidente en intersección,Fuga,Oscuridad iluminada,Despejado,30,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,Marzo,1,2:00 PM - 3:00 PM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Nieve,25,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,April,1,1:00 PM - 2:00 PM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,27,Femenino
2018,May,1,8:00 AM - 9:00 AM,Tuesday,Wayne County: Southgate,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,45,Lesión posible (C),Conductor de vehículo motorizado,22,Masculino
2018,May,1,3:00 PM - 4:00 PM,Tuesday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,35,Lesión menor sospechada (B),Conductor de vehículo motorizado,18,Masculino
2018,May,1,3:00 PM - 4:00 PM,Tuesday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,30,Lesión menor sospechada (B),Conductor de vehículo motorizado,20,Femenino
2018,June,1,8:00 PM - 9:00 PM,Friday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,47,Femenino
2018,June,1,2:00 PM - 3:00 PM,Friday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,30,Lesión posible (C),Conductor de vehículo motorizado,18,Masculino
2018,June,1,9:00 AM - 10:00 AM,Friday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,50,Femenino
2018,July,1,10:00 PM - 11:00 PM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,51,Masculino
2018,July,1,10:00 PM - 11:00 PM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,Masculino
2018,August,1,6:00 PM - 7:00 PM,Wednesday,Wayne County: Belleville,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,36,Masculino
2018,August,1,12:00 noon - 1:00 PM,Wednesday,Wayne County: Inkster,Accidente en intersección,Fuga,Luz del día,Despejado,15,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,Femenino
2018,August,1,5:00 PM - 6:00 PM,Wednesday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Despejado,No codificado y errores,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,August,1,11:00 PM - 12:00 midnight,Wednesday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,No codificado y errores,Fatal injury (K),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,September,1,8:00 PM - 9:00 PM,Saturday,Wayne County: Detroit,Accidente en intersección,Fuga,Oscuridad iluminada,Despejado,35,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Livonia,Accidente en intersección,Not hit-and-run,Luz del día,Rain,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,17,Femenino
2018,October,1,2:00 PM - 3:00 PM,Monday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,45,Lesión menor sospechada (B),Conductor de vehículo motorizado,31,Masculino
2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Nublado,30,Lesión menor sospechada (B),Conductor de vehículo motorizado,53,Masculino
2018,October,1,12:00 noon - 1:00 PM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Rain,25,Sin lesión (O),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Rain,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,November,1,9:00 AM - 10:00 AM,Jueves,Wayne County: Wyandotte,Accidente en intersección,Not hit-and-run,Luz del día,Rain,25,Lesión posible (C),Conductor de vehículo motorizado,21,Femenino
2018,November,1,7:00 PM - 8:00 PM,Jueves,Wayne County: Dearborn,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Rain,40,Lesión grave sospechada (A),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,November,1,6:00 PM - 7:00 PM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Dusk,Rain,No codificado y errores,Lesión posible (C),Conductor de vehículo motorizado,69,Masculino
2018,November,1,7:00 AM - 8:00 AM,Jueves,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Rain,35,Lesión posible (C),Conductor de vehículo motorizado,52,Femenino
2018,November,1,6:00 PM - 7:00 PM,Jueves,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Rain,25,Sin lesión (O),Conductor de vehículo motorizado,26,Femenino
2018,November,1,5:00 AM - 6:00 AM,Jueves,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Rain,35,Fatal injury (K),Conductor de vehículo motorizado,58,Masculino
2018,November,1,2:00 PM - 3:00 PM,Jueves,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Rain,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,December,1,11:00 AM - 12:00 noon,Saturday,Wayne County: Wyandotte,Accidente en intersección,Not hit-and-run,Luz del día,Nublado,25,Sin lesión (O),Conductor de vehículo motorizado,59,Femenino
2018,December,1,7:00 PM - 8:00 PM,Saturday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Oscuridad iluminada,Rain,35,Lesión posible (C),Conductor de vehículo motorizado,35,Masculino
2018,Marzo,2,10:00 AM - 11:00 AM,Friday,Wayne County: Detroit,Accidente fuera de intersección,Not hit-and-run,Luz del día,Nublado,30,Lesión posible (C),Conductor de vehículo motorizado,78,Masculino
2018,Marzo,2,9:00 AM - 10:00 AM,Friday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,April,2,12:00 noon - 1:00 PM,Monday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,63,Femenino
2018,April,2,11:00 PM - 12:00 midnight,Monday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Despejado,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,Femenino
2018,April,2,9:00 PM - 10:00 PM,Monday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,May,2,10:00 AM - 11:00 AM,Wednesday,Wayne County: Northville,Accidente fuera de intersección,Not hit-and-run,Luz del día,Despejado,25,Sin lesión (O),Conductor de vehículo motorizado,60,Masculino
2018,July,2,7:00 PM - 8:00 PM,Monday,Wayne County: Hamtramck,Accidente fuera de intersección,Fuga,Luz del día,Despejado,25,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,August,2,9:00 PM - 10:00 PM,Jueves,Wayne County: Redford Twp.,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Despejado,45,Lesión menor sospechada (B),Conductor de vehículo motorizado,22,Femenino
2018,September,2,9:00 PM - 10:00 PM,Sunday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,30,Lesión grave sospechada (A),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,2,2:00 PM - 3:00 PM,Tuesday,Wayne County: Dearborn,Accidente fuera de intersección,Fuga,Luz del día,Nublado,35,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,October,2,7:00 PM - 8:00 PM,Tuesday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Despejado,35,Lesión posible (C),Conductor de vehículo motorizado,70,Masculino
2018,October,2,5:00 PM - 6:00 PM,Tuesday,Wayne County: Detroit,Accidente en intersección,Fuga,Luz del día,Nublado,30,Lesión menor sospechada (B),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,November,2,6:00 PM - 7:00 PM,Friday,Wayne County: Van Buren Twp.,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,No codificado y errores,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,November,2,8:00 AM - 9:00 AM,Friday,Wayne County: Southgate,Accidente en intersección,Not hit-and-run,Luz del día,Nublado,40,Lesión posible (C),Conductor de vehículo motorizado,33,Femenino
2018,November,2,7:00 AM - 8:00 AM,Friday,Wayne County: Dearborn,Accidente en intersección,Not hit-and-run,Dark unlighted,Nublado,40,Lesión posible (C),Conductor de vehículo motorizado,51,Masculino
2018,November,2,12:00 noon - 1:00 PM,Friday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Luz del día,Rain,25,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
2018,November,2,9:00 PM - 10:00 PM,Friday,Wayne County: Detroit,Accidente en intersección,Not hit-and-run,Oscuridad iluminada,Rain,No codificado y errores,Lesión posible (C),Conductor de vehículo motorizado,73,Masculino
2018,November,2,4:00 PM - 5:00 PM,Friday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Luz del día,Despejado,40,Lesión posible (C),Conductor de vehículo motorizado,DOB invalid,Masculino
2018,November,2,2:00 AM - 3:00 AM,Friday,Wayne County: Detroit,Accidente fuera de intersección,Fuga,Oscuridad iluminada,Despejado,25,Lesión grave sospechada (A),Conductor de vehículo motorizado,DOB invalid,No codificado y errores
